source_id,source_name,source_type,availability_tag,metric_tags,evidence_use_tags,sub_peril_family,has_open_numbers,does_not_have_open,url,retrieved,notes
GCUBE_HAIL_HIGH_WATER_2021,"GCube Insurance — ""Hail or High Water"" report (via PES Media)",renewable_claims_publication,HAS_GATED_NUMBERS,EVENT_LOSS;PCT_TIV;CLAIM_FREQUENCY_SHARE,PERIL_SHARE_CONTEXT,CONVECTIVE_BLENDED,2019 weather-related solar loss ~2400% higher than non-weather; >70% of solar losses in last 10 yrs since 2017; wind projects flood>blade (qualitative).,Isolated wind-turbine convective-wind $/MW severity; TIV denominators.,https://pes.eu.com/press-releases/gcube-report-unmodelled-extreme-weather-driving-rising-severity-and-frequency-of-renewables-insurance-claims,2026-07-10,Blended solar-heavy framing; report body gated to insureds/brokers. CONTEXT only.
GCUBE_KNOWN_UNKNOWNS_2025,"GCube Insurance — ""Known Unknowns"" report (2025, via PES/Artemis)",renewable_claims_publication,HAS_GATED_NUMBERS,EVENT_LOSS;SUBLIMIT,PERIL_SHARE_CONTEXT;MARKET_SIGNAL,CONVECTIVE_BLENDED,US Nat Cat events >$300M insured damages; sub-limits now $75M-$50M or lower.,Wind-turbine-specific convective-wind loss; per-MW normalization.,https://pes.eu.com/press-releases/nat-cat-and-extreme-weather-now-a-global-threat-to-insurability-and-bankability-of-renewables-gcube-insurance-report,2026-07-10,"Sub-limit figures are market tail-risk signals, not observed per-event losses. Report gated."
GCUBE_NA_NATCAT_2022,"GCube Insurance — North American Nat Cat Update (Oct 2022, via POWER Magazine)",renewable_claims_publication,HAS_OPEN_NUMBERS,CLAIM_FREQUENCY_SHARE;EVENT_LOSS,PERIL_SHARE_CONTEXT,CONVECTIVE_BLENDED,40 severe storms (wind/hail/tornado/derecho) vs 13 traditional windstorm events over 3 yrs; tornado losses match anticipated damages from Hurricane Hanna.,Underlying per-event loss data; wind-only isolation.,https://www.powermag.com/evolving-extreme-weather-risks-posing-unprecedented-insurance-woes-for-renewables/,2026-07-10,Tornado-heavy qualitative framing; useful frequency-shift context. Underlying data gated.
GCUBE_ONSHORE_THREATS_2017,"GCube Insurance — ""Risky Business: Assessing Future Threats in Onshore Wind"" (2017)",renewable_claims_publication,HAS_OPEN_NUMBERS,CLAIM_SEVERITY;CLAIM_FREQUENCY_SHARE;COMPONENT_CAUSE,ATTRITIONAL_BASELINE,N/A,"~3,800 blade-failure incidents/yr up to $1M each; ~1,200 gearbox failures/yr $200K-$300K each; ~50 turbine fires/yr avg $4.5M claim.",Convective-wind cat losses (these are mechanical/attritional).,https://www.windtech-international.com/industry-news/gcube-ranks-threats-to-global-onshore-wind,2026-07-10,Attritional mechanical baseline; lets the reader separate ordinary blade/gearbox losses from convective-wind cat losses. NOT a convective-wind benchmark.
GCUBE_CONSTRUCTION_2024,"GCube Insurance — ""Arrested Development"" construction claims (2024)",renewable_claims_publication,HAS_OPEN_NUMBERS,CLAIM_FREQUENCY_SHARE;EVENT_LOSS,PERIL_SHARE_CONTEXT,CONVECTIVE_BLENDED,$1B CAR/DSU claims analyzed; onshore wind+solar construction losses 48% Nat Cat/extreme weather; flooding 18% frequency / 46% cost.,Operations-phase convective-wind severity; wind-only split.,https://electricalreview.co.uk/2024/09/17/gcube-warns-of-rising-insurance-claims-as-renewables-construction-ramps-up/,2026-07-10,Construction-phase (not operations); adjacent context only.
GCUBE_US_CLAIMS_2012,"GCube Insurance — Most Common Wind Insurance Claims (2012 US data, via NAW)",renewable_claims_publication,HAS_OPEN_NUMBERS,CLAIM_SEVERITY;COMPONENT_CAUSE;CLAIM_FREQUENCY_SHARE;DENOMINATOR,ATTRITIONAL_BASELINE;DENOMINATOR_CONTEXT,N/A,"Blade dmg 41.4%, gearbox 35.1%, generators 10.2%, transformers 5.1% of loss; causes: poor maint 24.5%, lightning 23.4%, design 11.5%; avg claim: gearbox $380K, blade $240K, foundation $1.3M (up to $2.5M); GCube >$200M paid since 2008; insures ~60% of operating US wind.",Convective-wind isolation (lightning explicitly separated at 23.4%).,https://nawindpower.com/gcube-lists-most-common-wind-insurance-claims,2026-07-10,Best open attritional cause-of-loss + component avg-claim baseline; ~60% US market denominator. Lightning (23.4%) separated from wind.
INSJ_HAIL_2023,"Insurance Journal — ""Baseball-Size Hail Makes Insuring Solar and Wind Farms Pricier""",trade_press,HAS_OPEN_NUMBERS,EVENT_LOSS;PCT_TIV,PERIL_SHARE_CONTEXT;MARKET_SIGNAL,HAIL_CONTAMINATED_SCS,"Hail ~$300M losses in TX (~2x combined severe-storm+wildfire+flood at notable US wind & solar since 2020, implying ~$150M combined non-hail); TX/SE premiums up as much as 50%/yr.",Wind-only convective severity; the ~$150M is blended wind+solar+multi-peril.,https://www.insurancejournal.com/news/national/2023/08/02/733273.htm,2026-07-10,Hail-dominant; the implied ~$150M non-hail is blended across wind+solar & 3 perils. CONTEXT.
AIC_ECOFIN_WHIRLWIND_2023,AIC — Ecofin US Renewables hit by unprecedented tornado in Texas (Whirlwind Energy),investor_disclosure,HAS_GATED_NUMBERS,EVENT_LOSS;ASSET_FACTS,PRIMARY_BENCHMARK_CANDIDATE;NAMED_EVENT,TORNADO,"Whirlwind Energy wind farm, Floydada TX, 59.8 MW, over a third of $102M portfolio; 5 transmission poles damaged; force majeure with Austin Energy.",$ repair/claim amount (gated in Ecofin/RNEW filings).,https://www.theaic.co.uk/aic/news/industry-news/ecofin-us-renewables-hit-by-unprecedented-tornado-in-texas,2026-07-10,Named US tornado-on-wind-farm event with MW; $ loss gated. Pathway: Ecofin/RNEW annual report.
JUSTIA_FLAT_RIDGE_2_2014,Flat Ridge 2 Wind Energy LLC v. Underwriters at Lloyd's (2014 NY Slip Op 31804(U)),court_filing,HAS_OPEN_NUMBERS,CLAIM_SEVERITY;EVENT_LOSS;ASSET_FACTS;DEDUCTIBLE,PRIMARY_BENCHMARK_CANDIDATE;NAMED_EVENT,TORNADO,"66,000-acre farm, 204 GE WTGs, Kansas, tornado 2012-05-19; premium $1.8M; claim submitted $9,728,755.38; adjuster est >$12M; partial pmts $3.5M + $3.75M = $7.25M paid net of $250K deductible; unallocated proofs of loss $7.5M.",Nameplate MW of the damaged subset (project ~419.6MW total not in filing); per-turbine allocation.,https://cases.justia.com/new-york/other-courts/2014-2014-ny-slip-op-31804-u.pdf?ts=1405462210,2026-07-10,BEST clean open single-event tornado-on-US-wind-farm claim. $/MW normalization requires an external MW denominator (project nameplate) NOT in the filing — leave $/MW blank or derived-sensitivity only.
GALLAGHER_RE_TRANSITION_2024,"Gallagher Re — ""Insuring the Transition"" (Nov 2024)",broker_publication,HAS_OPEN_NUMBERS,EVENT_LOSS;CLAIM_FREQUENCY_SHARE,PERIL_SHARE_CONTEXT,CONVECTIVE_BLENDED,"Subsea cable 75-80% of UK offshore claims (non-CW); IEC 61400 Class T ref wind 57 m/s ~ Cat3; turbines auto-stop ~55 mph; solar SCS losses upward of $50M/event (Midwest, solar); Typhoon Yagi $920M (fenced).",Onshore convective-wind turbine severity; loss-ratio chart values gated.,https://www.ajg.com/gallagherre/-/media/files/gallagher/gallagherre/news-and-insights/2024/november/gallagherre-insuring-the-transition-risks-and-opportunities-in-renewable-energy.pdf,2026-07-10,Offshore/cable & hurricane figures fenced or non-CW; retained for auto-stop and Class-T design context.
