"pair","verdict","source","url","publication_year","underlying_data_vintage","evidence_class","what_it_states","figure","metric_identity","loss_basis","denominator","geography_population","loss_pathway","exact_pair_specificity","subsystem","caveats"
"hail × utility-scale solar PV","IN_GEN1","kWh Analytics, Solar Risk Assessment 2025","https://kwhanalytics.com/wp-content/uploads/2025/06/Solar-Risk-Assessment-2025.pdf","2025","loss database; avg 4 yr loss history per site; vintage window not stated in article text","R1","Hail accounts for 73% of total financial losses despite 6% of loss incidents; +8% vs prior year; 19% of hail losses in North Carolina","73% / 6% / 19%","Peril share of portfolio loss dollars; peril share of loss-incident count","ground-up","portfolio loss amount","US solar in kWh loss database","physical damage","exact-pair","PV module glass","share, not EAL; no TIV denominator"
"hail × utility-scale solar PV","IN_GEN1","kWh Analytics loss-database slide in FM/ARRAY webinar deck","https://www.pv-magazine.com/wp-content/uploads/2025/07/All-presentations-2.pdf","2025","2012–2025; 13k+ asset-years; $100bn TIV-years; 92 GWdc; all 50 states","R1","Distribution by damage amount ($): hail 72.5%; ground-up losses $1.5bn","72.5%; $1.5bn","Peril share of ground-up loss dollars; total ground-up portfolio loss","ground-up","portfolio loss amount ($1.5bn)","US, all 50 states","physical damage","exact-pair","PV modules","by-count series in extracted text could not be reliably mapped to categories"
"hail × utility-scale solar PV","IN_GEN1","AXIS Capital, Solar vs Hail — What the Claims Data is Telling Us","https://axiscapital.foleon.com/thought-leadership/solarvshail/what-the-claims-data-is-telling-us","2025","closed claims, dates of loss 2019–2025","R1","Hail = 27% of global natcat/extreme-weather solar gross claim amount; 55% in US+Canada","27%; 55%","Peril share of gross claim amount (PD+BI+DSU pre-deductible)","gross","natcat/weather solar claim amount","global; US+Canada","physical damage + BI + DSU","exact-pair","PV modules (90% of natcat claims: modules primary damaged component)","share, not EAL"
"hail × utility-scale solar PV","IN_GEN1","AXIS Capital, Solar vs Hail — claims data","https://axiscapital.foleon.com/thought-leadership/solarvshail/what-the-claims-data-is-telling-us","2025","open+closed claims 2019–2025","R1","Failed stow $380k/MW; fixed-tilt $340k/MW; successful stow $150k/MW; heat-strengthened glass +$50k/MW; successful 60° stow case 3% panels, $20k/MWac","$380k / $340k / $150k / $20k per MWac","Average gross claim amount per MWac installed capacity","gross","$/MWac installed capacity","global, US-dominant (Texas top state)","physical damage + BI + DSU","exact-pair","PV modules; trackers","not a TIV ratio; conditional on a claim occurring"
"hail × utility-scale solar PV","IN_GEN1","AXIS Capital, Solar vs Hail","https://axiscapital.foleon.com/thought-leadership/solarvshail/what-the-claims-data-is-telling-us","2025","open+closed claims 2019–2025","R1","OAR losses = 73% of hail claim frequency; CAR average gross claim ≈3× OAR; 50% of under-construction tracker claims had modules out of stow","73%; ≈3×","Claim frequency share by policy type; ratio of average gross claim amounts","gross","claim count; claim amount","global","physical damage","exact-pair","modules on pallets/low tilt","construction vs operations split"
"hail × utility-scale solar PV","IN_GEN1","Gallagher Re / AXIS, Improving Underwriting for Renewable Assets","https://www.ajg.com/gallagherre/-/media/files/gallagher/gallagherre/news-and-insights/2026/april/improving-underwriting-for-renewable-assets.pdf","2026","AXIS claims 2019–2025; hazard model 1979–2015 hail climatology","R1/R2",">1m PV modules damaged, USD342m cumulative gross claim; Texas top state by an order of magnitude vs Nebraska; Gallagher Re computes AAL Ratio (AALR) per location with tailored vulnerability curves for solar","$342m","Cumulative gross claim amount; AAL ratio (methodology only, no value)","gross","claim amount; per unit currency of exposure (AALR)","global; South Africa case study","physical damage","exact-pair","PV modules","AALR values not published"
"hail × utility-scale solar PV","IN_GEN1","kWh Analytics, Solar Risk Assessment 2026","https://kwhanalytics.com/industry-reports/2026-solar-risk-assessment/","2026","underlying vintage not disclosed","R3","Pass/fail criterion: configurations where the 1-in-100 hail loss exceeds 10% of asset value are ""fail""; for 13% of the US both hail-hardened modules and robust stow are needed","1-in-100 loss > 10% of asset value; 13% of US","Return-period loss (1-in-100) as % of asset value","not stated","asset value","continental US; 100 MW single-axis tracker archetype","physical damage","exact-pair","modules + tracker stow","threshold, not a distribution; modelled not incurred"
"hail × utility-scale solar PV","IN_GEN1","Allianz Commercial (citing Swiss Re)","https://commercial.allianz.com/news-and-insights/expert-risk-articles/global-risk-dialogue-2025-net-zero-transition-claims.html","2025 (article dated Feb 2025)","Swiss Re research published Jul 2024; underlying vintage not disclosed","R1","""Hail accounts for 60% of total solar losses with only 3% claims, according to Swiss Re""","60% / 3%","Peril share of total solar losses; share of claims by count","not stated","total solar losses","global","physical damage","exact-pair","PV modules","second-hand citation of Swiss Re"
"hail × utility-scale solar PV","IN_GEN1","GCube via POWER Magazine, North American Nat Cat Update","https://www.powermag.com/evolving-extreme-weather-risks-posing-unprecedented-insurance-woes-for-renewables/","2022","summer 2022 events; 3-year comparison window","R2/R4","Texas hail losses estimated >$300m solar damage — ""more than twice as severe as other key renewable losses over the last three years combined""; multiple solar losses exceeded sublimits of up to $50m",">$300m; $50m sublimit","Total event/season loss; policy sublimit","not stated","event loss; policy sublimit","Texas, US","physical damage","exact-pair","PV modules","insurer press estimate"
"hail × utility-scale solar PV","IN_GEN1","FM large-loss table, FM/ARRAY webinar deck","https://www.pv-magazine.com/wp-content/uploads/2025/07/All-presentations-2.pdf","2025","events 2016, 2019, 2022, 2024","R4","2016 TX solar under construction $80m; 2019 Midway Solar $75m; 2022 3 TX projects $110m; 2024 3 TX projects $120m","$75m–$120m per event/cluster","Insured amount paid per event","net of deductibles/sublimits (insured paid)","event insured loss","Texas / US","physical damage","exact-pair","PV modules","est'd values"
