source_id,source_name,source_type,availability_tag,metric_tags,evidence_use_tags,sub_peril_family,has_open_numbers,does_not_have_open,url,retrieved,notes
AXIS_RENEWABLE_2024,AXIS Capital — Renewable Energy stow-scenario loss modeling (via industry press / broker briefings),renewable_insurer_publication,HAS_OPEN_NUMBERS,EVENT_LOSS;PCT_TIV;PERIL_SHARE;BI_DOWNTIME,PRIMARY_BENCHMARK_CANDIDATE;PERIL_SHARE_CONTEXT,CONVECTIVE_BLENDED,"Stow-scenario tracker $/MW figures: Failed Stow $380k/MW, Fixed-Tilt $340k/MW, Successful Hail Stow $150k/MW; heat-strengthened glass upgrade +$50k/MW. Peril share of a modeled solar loss: Hail 55% / Wildfire 23% / Tornado 18%. $342M gross claim example; 240-day NatCat downtime. Qualitative: 'hail is the 2nd most costly peril after strong winds.'",A clean straight-line/convective-wind-only $/MW severity isolated from hail/tornado; the underlying stow-scenario model methodology; TIV denominators behind the per-MW figures.,https://www.axiscapital.com/,2026-07-13,"The stow-scenario $/MW figures are the single most useful open solar-wind-adjacent severity anchors, but they are HAIL-stow framed (tracker stow to protect against hail), not pure straight-line wind. The 'hail 2nd most costly after strong winds' line is the strongest qualitative signal that strong wind leads solar peril cost, but no isolated wind $ is given."
GCUBE_SOLAR_HAIL_2024,GCube Insurance — solar hail/NatCat claims analysis (via PES Media / Artemis),renewable_insurer_publication,HAS_GATED_NUMBERS,EVENT_LOSS;CLAIM_FREQUENCY_SHARE;PERIL_SHARE,PERIL_SHARE_CONTEXT;MARKET_SIGNAL,CONVECTIVE_BLENDED,Hail average $58.4M per claim; hail = 54% of total solar claim COST. Qualitative: 'high wind events are a leading cause of insured losses in fielded solar assets' (frequency framing).,Straight-line/convective-wind-only solar $/MW severity; per-MW normalization; TIV denominators. Report body gated to insureds/brokers.,https://pes.eu.com/,2026-07-13,"Hail-dominant cost framing (54%) with wind cited as a leading FREQUENCY driver. The wind statement is a peril-prevalence signal, not a severity number. Headline figures open; body gated."
KWH_ANALYTICS_SOLAR_RISK_2024,kWh Analytics — Solar Risk Assessment (annual),renewable_analytics_publication,HAS_OPEN_NUMBERS,CLAIM_FREQUENCY_SHARE;PERIL_SHARE,PERIL_SHARE_CONTEXT,CONVECTIVE_BLENDED,"Weather/NatCat now dominant driver of solar physical-damage severity; hail leads severity, wind/tornado a rising sub-peril; tracker stow behavior a key modifiable risk factor.",Isolated convective-wind $/MW; TIV-denominated wind severity.,https://www.kwhanalytics.com/solar-risk-assessment,2026-07-13,Free annual industry report; useful for peril-mix and stow-behavior context. No wind-isolated $/MW.
DESCARTES_TORNADO_PARAMETRIC_2024,Descartes Underwriting — tornado parametric structure for solar (worked example),renewable_insurer_publication,HAS_OPEN_NUMBERS,SUBLIMIT;EVENT_LOSS,SECONDARY_BENCHMARK;MARKET_SIGNAL,TORNADO,Tornado parametric limit $70M; worked payout example $50M event x 15% payout ratio = $7.5M.,Straight-line-wind parametric; ground-up asset $/MW; solar-specific denominator.,https://descartesunderwriting.com/,2026-07-13,"Parametric (index-triggered) structure, TORNADO-specific, not straight-line wind. The $7.5M worked example is a structure illustration, not an observed asset loss."
GALLAGHER_RE_SCS_2025,Gallagher Re — US Severe Convective Storm loss analysis (2025),reinsurance_broker_publication,HAS_OPEN_NUMBERS,ANNUAL_INDUSTRY_LOSS;PERIL_SHARE,GENERIC_ONLY;SCREENING_ONLY,CONVECTIVE_BLENDED,SCS 2025 = $60B / 47% of global insured losses; SCS+hail US since 2020 = 42% / $200B.,Solar-asset decomposition; solar-MW denominator; wind-only isolation within SCS.,https://www.ajg.com/gallagherre/,2026-07-13,"GENERIC_ONLY: all-property SCS industry totals, not solar-specific. Never divide by solar MW."
VERISK_AIR_SCS_SOLAR,Verisk (AIR) — Severe Thunderstorm / SCS model with solar damage functions,cat_model_vendor,HAS_GATED_NUMBERS,DAMAGE_FUNCTION;PML;AAL,MECHANISM_ONLY;MARKET_SIGNAL,CONVECTIVE_BLENDED,>70 damage functions spanning hail / straight-line wind / tornado; solar-specific occupancy/construction codes 500-514 and 3001-3023.,The damage-function ordinates themselves (DR vs gust); PML/AAL magnitudes — all licensed/gated.,https://www.verisk.com/,2026-07-13,Structurally CONFIRMS straight-line wind is modeled as a distinct damage function for solar (separate from hail/tornado) — the strongest evidence that the sub-peril isolation is industry-standard. Ordinates gated. PATHWAY: license or request the solar SLW damage function.
MOODYS_RMS_SCS_RENEWABLE,"Moody's RMS — North America Severe Convective Storm model, renewable curves",cat_model_vendor,HAS_GATED_NUMBERS,DAMAGE_FUNCTION;PML;AAL,MECHANISM_ONLY;MARKET_SIGNAL,CONVECTIVE_BLENDED,Model spans convective wind 'from microbursts to derecho'; dedicated renewable (solar) vulnerability curves.,Curve ordinates; PML/AAL magnitudes — licensed/gated.,https://www.rms.com/,2026-07-13,Confirms the microburst->derecho straight-line-wind continuum is explicitly modeled for renewables. Ordinates gated. PATHWAY: license RMS NA SCS + renewable vulnerability.
VDE_CIRRUS_NAMED_WINDSTORM,VDE Americas / Cirrus — solar PML/AAL advisory (named-windstorm peril line),engineering_advisory,HAS_GATED_NUMBERS,PML;AAL;PERIL_SHARE,MECHANISM_ONLY;MARKET_SIGNAL,CONVECTIVE_BLENDED,Advisory framework treats named-windstorm / wind as a distinct PML & AAL peril line for solar portfolios (alongside hail).,Client-specific PML/AAL magnitudes; damage-ratio ordinates — advisory/gated.,https://vdeamericas.com/,2026-07-13,Independent engineering-advisory confirmation that wind is carried as its own peril line in solar PML/AAL work. Magnitudes gated.
RENEW_RISK_SCS_SOLAR,Renew Risk — SCS solar catastrophe model,cat_model_vendor,HAS_GATED_NUMBERS,DAMAGE_FUNCTION;PML;AAL,MECHANISM_ONLY;MARKET_SIGNAL,CONVECTIVE_BLENDED,Dedicated SCS model for solar assets covering hail + convective wind sub-perils.,Curve ordinates; PML/AAL magnitudes — licensed/gated.,https://www.renewrisk.com/,2026-07-13,Newer specialist renewable cat modeler; confirms solar SCS/convective-wind modeling market. Ordinates gated.
SETO_SEVERE_WEATHER_2023,"DOE SETO — Severe Weather & Solar report (Cedar Rapids derecho, Prescott AZ)",government_engineering_report,HAS_OPEN_NUMBERS,DAMAGE_STATE;INTENSITY;CASE_STUDY,CASE_STUDY_ONLY;MECHANISM_ONLY,STRAIGHT_LINE_CONVECTIVE,Cedar Rapids 2020 derecho: ballasted rooftop/ground array liftoff at ~140 mph vs ASCE 120 mph design. Prescott AZ ~70 mph event destroyed an array (below design). Clean straight-line-wind / derecho case documentation.,Dollar-loss per event; $/MW severity.,https://escholarship.org/content/qt5t8569hf/qt5t8569hf.pdf,2026-07-13,"The cleanest OPEN straight-line-wind/derecho solar CASE evidence. Damage-state + intensity, no dollars. Prescott shows sub-design failure (installation/anchorage), a key mechanism caveat."
