source_id,source_name,source_type,availability_tag,metric_tags,evidence_use_tags,solar_wildfire_use,fire_origin_family,has_open_numbers,does_not_have_open,url,retrieved,notes
KWH_SRA_2025_2026_FIRE,kWh Analytics — Solar Risk Assessment 2025/2026 (fire section),renewable_claims_publication,HAS_OPEN_NUMBERS,"[""CLAIM_FREQUENCY_SHARE"", ""REVENUE_LOSS_PCT"", ""SMOKE_SOILING"", ""COMPONENT_CAUSE""]","[""PRIMARY_BENCHMARK_CANDIDATE"", ""PERIL_SHARE_CONTEXT""]","Wildfire claim-mix framing: 84% of fire-labeled events are equipment/brush-ignition origin (endogenous), only ~4% of events occur in high-wildfire-risk areas, 44% inverter-caused; up to 80% asset value loss range in cited cases; smoke-soiling ~6% annual revenue loss (SMOKE-SOILING scope). Splits DIRECT exogenous burnover from equipment-origin fire and from smoke-production loss.",ALL_CAUSE_PV_FIRE_BLENDED,84% of fire events equipment/brush-ignition origin; ~4% of fire events occur in high-wildfire-risk areas; 44% inverter-caused; up to 80% asset value loss (case range); ~6% avg annual revenue loss from smoke-soiling; 60% of portfolios saw double-digit generation loss in 2-week smoke windows.,Isolated $/MW physical severity for exogenous wildfire burnover of a utility solar array; capacity/TIV denominators for the fire-cause split.,https://kwhanalytics.com/wp-content/uploads/2025/06/Solar-Risk-Assessment-2025.pdf,2026-07-10,"The 84% equipment/brush-origin share is critical: most 'solar fire' losses are endogenous, NOT exogenous wildfire burnover (the scope of the canonical wildfire_solar cell). Do not conflate. DIRECT (84%/4%/44%/80%) and SMOKE-SOILING (6%/60%) figures kept as separate metric families. SCOPE CAVEAT: all-cause PV fire, blends endogenous+exogenous ignition; NOT an exogenous-wildfire benchmark — cannot validate a landscape-wildfire model."
KWH_SRA_LOSS_DATABASE_HAIL_FIRE_SPLIT,"kWh Analytics — Solar Risk Assessment loss database, hail/fire peril split (webinar slide)",renewable_claims_publication,HAS_OPEN_NUMBERS,"[""CLAIM_SHARE"", ""PERIL_MIX""]","[""SECONDARY_BENCHMARK"", ""PERIL_SHARE_CONTEXT""]","Contextualizes fire vs hail share of the kWh loss database: fire = 4.81%/8.41% of losses (OCR-ambiguous which is count vs $ share); denominator is 13,000+ asset-years, ~$100B TIV, 92 GW, 2012-2025, $1.5B total ground-up losses.",ALL_CAUSE_PV_FIRE_BLENDED,"Fire = 4.81% or 8.41% of database losses (column/axis OCR-ambiguous, carry both readings); denominator: 13,000+ asset-years, ~$100B TIV, 92 GW DC, 2012-2025, $1.5B cumulative ground-up losses.",Unambiguous count-vs-dollar attribution of the 4.81%/8.41% split; wildfire isolated from equipment-origin fire within this figure; per-MW severity.,https://pv-magazine-usa.com/,2026-07-10,"Same portfolio family as VDE_AXIS_PERIL_MIX_2025-style denominators (13,000+ asset-years/92GW/$100B TIV/$1.5B ground-up) used elsewhere in the flood dossier; OCR ambiguity in the source slide means both 4.81% and 8.41% must be carried forward, not averaged. SCOPE CAVEAT: all-cause PV fire, blends endogenous+exogenous ignition; NOT an exogenous-wildfire benchmark — cannot validate a landscape-wildfire model."
GCUBE_CELL_INTERRUPTED_2016,GCube — Cell Interrupted / NA claims report (2016 vintage + later ~2023 update),broker_insurer_report,HAS_OPEN_NUMBERS,"[""CLAIM_SHARE"", ""CLAIM_VALUE_SHARE""]","[""PERIL_SHARE_CONTEXT""]","Fires = 16% of claims / 20% of total costs in a 5-year window ending ~2023; an earlier 2016 report cites weather ~50% of NA claims (context, not wildfire-isolated).",ALL_CAUSE_PV_FIRE_BLENDED,"Fires = 16% of claims by count, 20% of total costs, 5-yr window ending ~2023; earlier (2016) figure: weather ~50% of North American solar claims.",Isolation of wildfire from equipment-origin/other fire causes within the 16%/20% figures; per-MW severity; denominator/portfolio size.,https://www.pv-tech.org/,2026-07-10,"The 16%/20% 'fires' bucket almost certainly blends equipment-origin and exogenous wildfire causes (per the kWh 84%-equipment-origin finding) — treat as an upper bound on wildfire's true share, not a wildfire-isolated figure. SCOPE CAVEAT: all-cause PV fire, blends endogenous+exogenous ignition; NOT an exogenous-wildfire benchmark — cannot validate a landscape-wildfire model."
GCUBE_HAIL_OR_HIGH_WATER_2021,GCube — Hail or High Water (solar extreme-weather claims report),broker_insurer_report,HAS_OPEN_NUMBERS,"[""CLAIM_VALUE_SHARE"", ""EVENT_LOSS_MAGNITUDE""]","[""PERIL_SHARE_CONTEXT"", ""SOURCE_DISCOVERY""]","Roughly 50% of solar extreme-weather claim value attributed to wildfire, characterized as 'tens of millions' cumulative over the decade — an aggregate order-of-magnitude figure, not per-MW. Also cross-listed/corroborated in R3 with an S&P Global figure that wildfire+windstorm+tornado = 80% of claims over the past 10 years and $300M in claims since 2015 (combined, not wildfire-isolated).",ALL_CAUSE_PV_FIRE_BLENDED,"~50% of solar extreme-weather claims = wildfire; 'tens of millions of dollars' cumulative wildfire losses over the decade; wildfire cited as historically the most frequent solar damage cause among extreme-weather perils; corroborating S&P Global figure (via same GCube dataset lineage): wildfire+windstorm+tornado = 80% of claims past 10 years, $300M in claims since 2015 (combined bucket).",Per-MW severity; separation of DIRECT burnover from smoke/soiling revenue loss; isolated wildfire-only dollar figure (only combined-bucket figures are open); project/portfolio denominators.,https://www.gcube-insurance.com/reports/,2026-07-10,"Wildfire claim-share estimates vary ~5x across insurers (GCube ~50% vs kWh's ~4% of events in high-risk areas vs AXIS's third-party-cited 23%). DO NOT average across sources — different denominators, time windows, and definitions (weather-claims-only vs all-cause vs NatCat-only). SCOPE CAVEAT: all-cause PV fire, blends endogenous+exogenous ignition; NOT an exogenous-wildfire benchmark — cannot validate a landscape-wildfire model."
GCUBE_NA_NATCAT_UPDATE_2022,"GCube — North America NatCat market update (2022, Texas hail-dominated)",broker_insurer_report,HAS_OPEN_NUMBERS,"[""EVENT_LOSS"", ""DEDUCTIBLE_SUBLIMIT""]","[""PERIL_SHARE_CONTEXT""]","$300M+ Texas hail-dominated NatCat losses in 2022; sublimits up to $50M breached. Wildfire not separately broken out here, but same GCube report family is used elsewhere for wildfire commentary (see GCUBE_TX_HAIL_WILDFIRE_COMPARISON_2023).",HAZARD_INTENSITY_ENGINEERING,"$300M+ NatCat losses in Texas, 2022 (hail-dominated); sublimits up to $50M breached.","Any wildfire-specific isolation within this report; the $300M figure is hail-attributed, not wildfire.",https://www.gcube-insurance.com/reports/,2026-07-10,Included as denominator/context for the GCube report family and to support the GCUBE_TX_HAIL_WILDFIRE_COMPARISON_2023 cross-reference; not itself a wildfire number.
GCUBE_KNOWN_UNKNOWNS_2025,GCube — Known Unknowns (2025 renewable NatCat market report),broker_insurer_report,HAS_OPEN_NUMBERS,"[""EVENT_LOSS""]","[""PERIL_SHARE_CONTEXT"", ""SOURCE_DISCOVERY""]",US NatCat events >$300M including hail and wildfire bundled together (not isolated); general market commentary on rising renewable NatCat severity.,ALL_CAUSE_PV_FIRE_BLENDED,"US NatCat events >$300M (incl. hail and wildfire, not separated); qualitative market-hardening commentary.",Wildfire-isolated $ figure; per-MW severity; full report is largely gated beyond press-cited figures.,https://www.gcube-insurance.com/reports/,2026-07-10,"Partial open (press-cited figures) + HAS_PATHWAY_ONLY for the full report; wildfire bundled inside a >$300M generic NatCat bucket. SCOPE CAVEAT: all-cause PV fire, blends endogenous+exogenous ignition; NOT an exogenous-wildfire benchmark — cannot validate a landscape-wildfire model."
GCUBE_MCLACHLAN_INTERVIEW_2025,"GCube — McLachlan interview (trade press, 2025)",broker_insurer_commentary,HAS_OPEN_NUMBERS,"[""UNDERWRITING_APPETITE"", ""MECHANISM_NARRATIVE""]","[""MECHANISM_ONLY"", ""SOURCE_DISCOVERY""]",Key qualitative admission: GCube has NOT yet had a major utility-scale solar wildfire loss; California cannot exclude wildfire coverage but can sublimit or price for it.,ALL_CAUSE_PV_FIRE_BLENDED,"Qualitative only, no $: GCube has not had a major utility-scale solar wildfire loss to date; in California, wildfire cannot be excluded from renewable policies but can be sublimited/priced.",Any dollar figure whatsoever — this source is qualitative/narrative only.,https://www.gcube-insurance.com/,2026-07-10,"Directly informs the Golden Rule for this pair: even a leading renewable insurer's own underwriter states no major realized utility-scale solar wildfire loss has occurred yet, which explains the overall scarcity of open wildfire-isolated $/MW figures across all source classes. SCOPE CAVEAT: all-cause PV fire, blends endogenous+exogenous ignition; NOT an exogenous-wildfire benchmark — cannot validate a landscape-wildfire model."
AXIS_SOLAR_VS_HAIL_2025,"AXIS Capital — solar vs hail claims report (2025, primary report)",insurer_report,HAS_OPEN_NUMBERS,"[""CLAIM_FREQUENCY_SHARE"", ""CLAIM_VALUE_SHARE"", ""DOLLARS_PER_MW"", ""BI_DOWNTIME""]","[""PERIL_SHARE_CONTEXT"", ""SECONDARY_BENCHMARK""]","Ranks perils for solar: NA hail ~55% of gross claims, wildfire 'shortly behind' (no % given); Global: hail 27% of gross claim $, tornado/wind 23% of frequency / 45% of $; downtime days by cause; $/MW figures given are for hail/stow scenarios, not wildfire.",ALL_CAUSE_PV_FIRE_BLENDED,"NA: hail ~55% of gross claims, wildfire ranked next (no %); Global: hail 27% of gross claim $, wind/tornado 23% freq / 45% $; $380k/MW (tracker stow-failure, hail-caused, NOT wildfire), $340k/MW fixed-tilt (hail), $150k/MW successful-stow (hail); ~240 days avg downtime for NatCat/extreme-weather events (includes wildfire in the aggregate category but not isolated).",Wildfire-only percentage or $/MW figure — all quantified $/MW figures in this report are hail-specific.,https://www.axiscapital.com/insurance/energy,2026-07-10,"The $150-380k/MW figures are HAIL-caused, not wildfire-caused — must not be relabeled as wildfire severity. Wildfire is only qualitatively ranked ('shortly behind' hail in NA), with no isolated $ or % figure in the primary report. SCOPE CAVEAT: all-cause PV fire, blends endogenous+exogenous ignition; NOT an exogenous-wildfire benchmark — cannot validate a landscape-wildfire model."
AXIS_PVMAGAZINE_JULY2025_WILDFIRE23,AXIS Capital data as reported by pv magazine (July 2025 vintage),trade_press_secondary_citation,HAS_OPEN_NUMBERS,"[""CLAIM_VALUE_SHARE""]","[""SECONDARY_BENCHMARK""]","Third-party citation of AXIS data: wildfire = 23%, tornado = 18%, hail = 55% of NatCat/extreme-weather solar claims (July 2025 vintage), a different cut than AXIS's own global 27%-hail figure.",ALL_CAUSE_PV_FIRE_BLENDED,"Wildfire = 23%, tornado = 18%, hail = 55% of NatCat/extreme-weather solar claims (as reported by pv magazine, July 2025).",Independent primary-source confirmation of the 23% figure directly from AXIS (only found via secondary trade-press citation); denominator/vintage reconciliation against AXIS's own 27%-hail global figure.,https://www.pv-magazine.com/,2026-07-10,"Flagged low-to-medium confidence: this 23% wildfire figure could not be directly corroborated in AXIS's own primary report text retrieved for AXIS_SOLAR_VS_HAIL_2025, which instead only says wildfire is 'shortly behind' hail in NA without a percentage. Possible vintage/geography mismatch (NA vs global cut) — do not average with other AXIS figures. SCOPE CAVEAT: all-cause PV fire, blends endogenous+exogenous ignition; NOT an exogenous-wildfire benchmark — cannot validate a landscape-wildfire model."
MARSH_RENEWABLE_NATCAT_80PCT,Marsh — renewable-energy NatCat claim materials,broker_report,HAS_OPEN_NUMBERS,"[""CLAIM_VALUE_SHARE""]","[""PERIL_SHARE_CONTEXT""]","NatCat (storm+hail named explicitly) = 80% of solar PV claim value globally; wildfire not separately isolated, sits inside the residual/NatCat bucket.",ALL_CAUSE_PV_FIRE_BLENDED,NatCat = 80% of solar PV claim value globally (storm+hail explicitly named as the dominant components).,Wildfire-only quantification; per-MW figure; DIRECT vs smoke split.,https://www.marsh.com/en/industries/power-utilities.html,2026-07-10,"Aggregate-only figure; wildfire sits inside the NatCat bucket alongside storm and hail, which are explicitly named as dominant — wildfire's residual share within the 80% is unknown and should not be assumed to be large. SCOPE CAVEAT: all-cause PV fire, blends endogenous+exogenous ignition; NOT an exogenous-wildfire benchmark — cannot validate a landscape-wildfire model."
