pair_id,hazard,asset,pair_version,denominator_basis,denominator_usd_per_MW,tier,tier_definition,per_event_severity_pct_TIV_low,per_event_severity_pct_TIV_high,per_event_severity_intensity_anchor,annual_EAL_pct_TIV_low,annual_EAL_pct_TIV_high,derivation_method,assumed_return_period_yr,derivation_arithmetic,reasoning,reference_empirical,reference_curve,mfl_pct_TIV,focus_flag,band_confidence,evidence_strength
solar_hail,hail,solar_pv_utility,v0.2,installed_TIV,1120000,low,favourable siting + hardened/mitigated design,1.5,5.2,"50-60mm, hardened thicker glass, fully stowed",0.05,0.30,EMPIRICAL_ANCHORED,30,1.53% / 30yr = 0.051%/yr; upper bound pinned to observed resilient-design AAL 0.275%/yr,"Stowing plus thicker glass collapses DR by ~5-10x at the same stone size. Upper bound is pinned to the observed resilient-design AAL, not extrapolated.","kWh/POWER Mag resilient case $307,790/yr per 100MW = 0.275% TIV/yr [KWH_POWERMAG_RESILIENCY_CASE_2025]","HAIL_SOLAR_HARDENED_THICKER fully_stowed, 50-60mm -> 1.53-5.20% TIV",35.5,AAL_DRIVEN,high,strong
solar_hail,hail,solar_pv_utility,v0.2,installed_TIV,1120000,mid,"typical siting, standard design, moderate hazard region",8.9,21.1,"55mm (2.2in), default 3.2mm glass, fully stowed",0.30,1.00,EMPIRICAL_ANCHORED,30,8.95% / 30yr = 0.298%/yr (band floor); observed baseline AAL 0.949%/yr (band ceiling),Central case. Empirical and engineering streams independently land on the same interval - convergence of two independent methods.,"kWh/POWER Mag baseline $1,062,720/yr per 100MW = 0.949% TIV/yr [KWH_POWERMAG_RESILIENCY_CASE_2025]",HAIL_SOLAR_DEFAULT_3P2_GBS fully_stowed @55mm = 8.95% TIV,35.5,AAL_DRIVEN,high,strong
solar_hail,hail,solar_pv_utility,v0.2,installed_TIV,1120000,high,adverse siting (hail alley) + unmitigated design,27.4,35.5,"60-90mm (2.4-3.5in), unstowed",1.00,2.50,EMPIRICAL_ANCHORED,25,27.39% / 25yr = 1.096%/yr (band floor); ceiling respects observed 1-in-100 >10% TIV threshold,Hail alley sites take repeated sub-catastrophic strikes so annual losses stack - EAL is not one event. Upper bound does not extrapolate past the observed 1-in-100 threshold.,AXIS $340k-$380k/MW = 30.4-33.9% TIV [AXIS_SOLAR_VS_HAIL_2025]; GCube sensitivity $584k/MW = 52.1% TIV [GCUBE_HAIL_NO_2023_PUBLIC_SUMMARIES]; kWh SRA 1-in-100 hail loss >10% asset value [KWH_SRA_2026_OPEN_PAGE],HAIL_SOLAR_DEFAULT_3P2_GBS unstowed @60mm = 27.39% TIV; asymptote 35.47% @90mm,35.5,AAL_DRIVEN,high,strong
solar_flood,flood,solar_pv_utility,v0.3.1,installed_TIV,1120000,low,well-sited off floodplain,17.5,17.5,0.15m nuisance depth,0.01,0.03,ENGINEERING_DERIVED,1000,17.53% / 1000yr = 0.018%/yr,Solar is preferentially sited off floodplain so exposure probability dominates and is very small.,Valdora Solar $0/MW - a real flood event with zero physical loss [VALDORA_SOLAR_ZERO_LOSS_2022],Value-weighted FS failure units @0.15m = 17.53% TIV,45.9,PML_DRIVEN_STRONGLY,medium_low,thin_3_normalized_rows
solar_flood,flood,solar_pv_utility,v0.3.1,installed_TIV,1120000,mid,standard setback siting,28.6,28.6,0.30m depth,0.03,0.10,ENGINEERING_DERIVED,500,28.56% / 500yr = 0.057%/yr,"Order of magnitude consistent with the peril-mix derived figure, which implies flood is a rounding error in aggregate solar loss.",VDE/AXIS peril mix derived $32.61/MW = 0.003% TIV aggregate [VDE_AXIS_PERIL_MIX_2025],Value-weighted FS failure units @0.30m = 28.56% TIV,45.9,PML_DRIVEN_STRONGLY,medium_low,thin_3_normalized_rows
solar_flood,flood,solar_pv_utility,v0.3.1,installed_TIV,1120000,high,genuinely floodplain-sited plant,28.6,42.0,0.3-1.0m depth,0.10,0.50,ENGINEERING_DERIVED,100,28.56% / 100yr = 0.286%/yr,Asymmetry is the story: conditional severity is high (inverters and switchgear drown at ankle depth) but annual expectation stays small.,"DEPCOM avoided-loss $43,478/MW = 3.88% TIV event-scale [DEPCOM_FLOOD_RESPONSE_CASE]","Value-weighted FS failure units @0.3m = 28.56% TIV, @1.0m = 41.98% TIV; asymptote 45.92% @4.0m",45.9,PML_DRIVEN_STRONGLY,medium_low,thin_3_normalized_rows
solar_strong_wind,strong_wind_straight_line,solar_pv_utility,v0.7,installed_TIV,1120000,low,low-convective region,5.1,5.1,110mph 3s gust (V_design 115mph),0.01,0.03,ENGINEERING_DERIVED,250,5.09% / 250yr = 0.020%/yr,The DR curve is exactly zero below 100mph - sub-design gusts contribute nothing to EAL.,,struct_agg_pct_installed_TIV @110mph = 5.087% TIV,31.7,PML_DRIVEN,medium,moderate
solar_strong_wind,strong_wind_straight_line,solar_pv_utility,v0.7,installed_TIV,1120000,mid,typical siting at design gust,9.4,9.4,115mph 3s gust (= V_design),0.03,0.15,ENGINEERING_DERIVED,100,9.37% / 100yr = 0.094%/yr,Empirical support is indirect - no open source isolates pure straight-line-wind dollar severity for solar.,Soltec 2019 ~2% of trackers collapsed/damaged - a low-severity real outcome [SOLTEC_2019_PVMAG],struct_agg_pct_installed_TIV @115mph = 9.37% TIV,31.7,PML_DRIVEN,medium,moderate
solar_strong_wind,strong_wind_straight_line,solar_pv_utility,v0.7,installed_TIV,1120000,high,"derecho-prone plains, unmitigated stow reliability",15.1,25.3,120-130mph 3s gust,0.15,0.60,ENGINEERING_DERIVED,50,15.13% / 50yr = 0.303%/yr,"Tracker stow reliability is the swing factor - NEXTracker 25-yr failure probability spans 1.7-14.6%, an ~8x spread that maps directly onto this band width.","AXIS $150k-$380k/MW = 13.4-33.9% TIV (stow scenarios, hail-framed, blended use) [AXIS_RENEWABLE_2024]; DOE FEMP repair range 0.9%-134% TIV [DOE_FEMP_PV_WEATHER_GUIDE]","struct_agg_pct_installed_TIV @120mph = 15.13% TIV, @130mph = 25.32% TIV; asymptote 31.74%",31.7,PML_DRIVEN,medium,moderate
wind_convective_wind,convective_wind_slw_and_tornado,wind_onshore,v0.5/v0.6,installed_TIV,1968000,low,"straight-line convective wind, typical siting",1.4,1.4,145mph straight-line,0.00,0.01,ENGINEERING_DERIVED,200,1.39% / 200yr = 0.007%/yr,Turbines are engineered to IEC Ve50 survival so straight-line convective wind essentially never governs.,,struct_agg_pct_TIV_SLW @145.4mph = 1.39% TIV,55.2 (straight-line) / 5.6 (tornado corridor-capped),PML_DRIVEN_LOW_PRIORITY,low,thin_no_loss_rows
