rank,pair,verdict,materiality,financial_range,metric_identity,data_vintage,loss_pathway,confidence,reasoning,contradicting,recommended_action
1,"hail × utility-scale solar PV",IN_GEN1,"Dominant: 72.5% of kWh loss dollars; 55% of AXIS US/Canada nat-cat gross claim amount.","$150k–$380k/MWac average gross claim by stow/design; $29m–$120m event/cluster insured payments; 1-in-100 >10% asset-value threshold. Not EAL.","Gross claim per MWac; loss-dollar share; event insured payment; return-period loss threshold.","kWh 2012–2025; AXIS 2019–2025; events 2016–2024; 2026 model vintage undisclosed.","Physical module damage; tracker/racking and BI secondary.",High,"Multiple independent insurer datasets quantify claim share and stow-conditioned severity. This is the strongest decision-ready Gen 1 pair.","Global AXIS hail share is 27%, below its blended strong-wind share; geography and denominator differ.","Keep as anchor cell; preserve stow-conditioned severity."
2,"convective wind × utility-scale solar PV",IN_GEN1,"Secondary: SCS-wind + tornado is 3.6% of kWh loss dollars.","3.6% loss-dollar share; $10m parametric example on a $50m limit at 20% damaged area; $20m–$50m limit/sublimit context. Not EAL.","Loss-dollar share; parametric payout function; insurance limits; stow-control threshold.","kWh 2012–2025; AXIS 2019–2025; market examples 2020–2026.","Tracker/racking galloping; liberated modules; piles; cascading rack failure.",Medium-high,"Dedicated sublimits, a solar tornado product, and quantitative loss share establish a separately underwritten peril. It must be built with a clean convective-only taxonomy.","AXIS strong wind blends named storm, SCS, sandstorm, and other wind; hail-primary SCS can be recoded as hail.","Re-scope jointly with hurricane solar; map every source category to one cell."
3,"hurricane / tropical cyclone × utility-scale solar PV",IN_GEN1,"Secondary: hurricane is 4.24% of kWh loss dollars.","<5%–75% panels damaged/removed by site; $40m Puerto Rico repair estimate; 4.24% loss-dollar share. Panel counts are not TIV ratios or EAL.","Panel-count damage fraction; repair estimate; loss-dollar share; siting guidance.","Maria 2017 with 2014–2017 arrays; kWh 2012–2025; FM April 2026.","Module-to-rail attachment; rail connections; uplift and windborne-debris cascade.",Medium-high,"FEMA damage observations, FM tropical-storm guidance, and a separate portfolio-loss share support inclusion. A design-generation stratification is mandatory.","FPL disclosed <0.05% damage among nearly 16m panels in 2024 storms; outer-band tornado attribution can contaminate hurricane records.","Build jointly with convective solar and stratify design generation."
4,"hurricane / tropical cyclone × onshore wind farm",IN_GEN1,"Unknown portfolio share; catastrophic conditional severity at exposed landfall sites.","$25m estimated repair for 26 MW/13 turbines; $28m project-value context; 30%–50% cat-cover practice. No EAL.","Repair estimate; damage count; project value; coverage limit practice; design requirements.","Events 2008, 2013, 2015, 2017; publications 2011–2025.","Blades; nacelle/electrical; upper tower/support; yaw-power dependence.",Medium,"Government sources document severe exact-pair damage and a repair amount, while FM differentiates TC design requirements. This is an implementation gap, not a scope gap.","Santa Isabel was seemingly intact in the same storm; Hurricane Ike damage was largely non-structural despite >140 mph winds.","Build as a new cell with farm/site-fraction logic; quarantine offshore figures."
5,"convective wind × onshore wind farm",IN_GEN1,"Material qualitative evidence: named insured loss and large damaged turbine fleet.","$50m estimated insured payment; 35 of 100 turbines severely damaged and totally inoperable, 53 under assessment. Counts are event breadth, not %TIV or EAL.","Event insured payment; turbine impairment count; design-load guidance.","Iowa 2024; Courtenay June 2025/status February 2026; FM October 2025.","Blades; tower/upper tower; foundation; interconnection; BI.",Medium-high,"A regulatory filing and insurer loss list provide independent exact-pair catastrophic evidence including one financial source. Tornado-corridor and straight-line wind require separate regimes.","Tornado paths can affect only part of a farm; a Texas tornado reportedly spared turbines while damaging transmission poles.","Build after TC wind; separate tornado corridor from straight-line/derecho and review severity evidence."
6,"wildfire × utility-scale solar PV",IN_GEN1,"Secondary but contaminated: fire is 4.81% of kWh loss dollars; most fire events are equipment-driven.","Several multi-million-dollar to >$10m mainly-solar wildfire losses; up to $100m 2023 wildfire-and-wind blend; 4.81% fire share. No EAL.","Event insured amount; loss-dollar share; ignition/hazard-zone event share.","AXIS 2019–2025; events 2020 and 2023; kWh 2012–2025 and 2026 window undisclosed.","Landscape-fire physical damage; separate smoke/soiling degradation and equipment fire.","Medium","Insurer sources establish material solar physical-loss evidence and underwriting attention. The cell is valid only when exogenous landscape fire is partitioned from equipment brushfire.","Only 4% of PV fire events occur in high-wildfire-risk areas while 84% are equipment-driven brushfires.","Build only with an ignition-source dimension; otherwise defer."
7,"flood × utility-scale solar PV",IN_GEN1,"Secondary in US operations: 0.197% of kWh loss dollars; material for exposed/construction sites.","Nearly +230% relative modelled flood-AAL change for one plant; 0.197% loss-dollar share; no absolute AAL or EAL.","Relative modelled AAL change; loss-dollar share; prescriptive return period.","Moody's case vintage undisclosed; kWh 2012–2025; FM April 2026.","Switchyard, substations, inverters/cabling, foundations, support frames.",Medium,"A named solar AAL/premium-loading case and specific underwriting standards show the pair is priced. Its usefulness depends on subsystem-level exposure rather than one site centroid.","CSP/construction flood losses and mixed construction results cannot be transferred to operating PV; US operational share is small.","Build with subsystem-level exposure disaggregation."
8,"flood × onshore wind farm",INSUFFICIENT_EVIDENCE,"Unknown: GCube ranks flood highly within wind claims while FM calls it uncommon.","No exact-pair financial range. The 46% construction cost / 18% frequency figure is mixed wind+solar and not usable as a wind figure.","Mixed-asset construction claim share/frequency; qualitative rank; prescriptive guidance.","GCube 2013–2022; Allianz claim date undisclosed; FM October 2025.","Foundation scour/saturation; collector substation/tower-base equipment; access roads.",Low-medium,"Mechanism and underwriting recognition exist but no exact-pair monetary loss, damage ratio, share, EAL, PML, or rate treatment was found. The next quantified exact-pair disclosure could promote it.","FM calls flood not common for most land-based wind farms; GCube says wind projects are most frequently damaged by flooding.","Defer to Gen 1.5 pending one quantified exact-pair source."
9,"hail × onshore wind farm",DEGRADATION_CANDIDATE,"Immaterial as demonstrated catastrophe loss; material as blade-coating/AEP/O&M degradation.","More than $200k per blade replacement; 1%–4% average AEP loss and up to 25% extreme; no cat-loss range or EAL.","Accumulated damage fraction; coating lifetime; AEP loss; component replacement cost.","Meteorology 2005–2022; FM October 2025.","Cumulative blade leading-edge/coating erosion; sensors secondary.",Medium-high,"The strongest exact-pair evidence describes slow degradation and scheduled maintenance, not catastrophic replacement. Solar-hail metrics are not transferable to wind.","FM still requires hail-resilient blades/sensors and post-hail inspection, so hail remains a real trigger event.","Route to degradation/O&M; do not build a Gen 1 cat cell or import solar-hail parameters."
10,"wildfire × onshore wind farm",INSUFFICIENT_EVIDENCE,"Weak qualitative low-materiality indication, not affirmative exclusion evidence.","No exact-pair monetary amount, claims share, damage ratio, deductible, PML, or EAL.","Clearance distance and qualitative hazard characterization only.","FM October 2025; BBC event April 2019; Swiss Re 2017.","Collector substation and FRP blades; precautionary BI; not tower collapse.",Low,"The mechanism is recognised but no fetched exact-pair financial magnitude or material-loss event was found. Evidence absence is insufficient to call the pair OUT_GEN1.","Large clearance zones and coverage indicate plausible exposure; FM tower statement and Moray no-damage outcome point lower.","Do not build; retain evidence-absence log and revisit on quantified wind-farm wildfire loss."
