source_id,source_name,source_type,availability_tag,metric_tags,evidence_use_tags,solar_flood_use,has_open_numbers,does_not_have_open,url,retrieved,notes
NREL_VERISK_PV_INSURANCE_2020,NREL / kWh Analytics / Verisk — Photovoltaic (PV) Insurance Claims analysis (Technical Report NREL/TP-5C00-78588),renewable_insurer_claims_publication,HAS_OPEN_NUMBERS,"['CLAIM_SEVERITY', 'CLAIM_SHARE', 'DOLLARS_PER_CLAIM', 'PERIL_MIX']","['PRIMARY_BENCHMARK_CANDIDATE', 'SECONDARY_BENCHMARK']",Only open PV-specific claims dataset with a Flood/Water peril group; gives per-claim severity and count context for water-related solar damage.,"15,128 claims 2014–2019; $60.8M solar item value; >$1.2B total insured value in study. Flood/Water group reported per-claim statistics, but the published table has a column-alignment ambiguity: reading A avg $2,020 / median $1,210 / max $26,103 / stdev $2,839 (n=197); reading B avg $5,288 / median $2,358 / max $94,921 / stdev $12,143 (n=79).","Per-MW normalization, project TIV, capacity per claim, unambiguous flood column; original PDF table must be visually re-checked before either reading is trusted.",https://docs.nrel.gov/docs/fy21osti/78588.pdf,2026-07-09,Both column readings must be carried forward and flagged; do not silently pick one. Most concrete open PV flood-claim severity source found.
BMS_GCUBE_AUSTRALIA_2021,BMS Group / GCube — Australian renewables claims review,renewable_insurer_broker_claims_summary,HAS_OPEN_NUMBERS,"['CLAIM_SHARE', 'PERIL_MIX', 'NATCAT_SHARE']",['SECONDARY_BENCHMARK'],Peril-mix share for solar where NatCat (including flood) is broken out relative to wind and contractor error.,NatCat (incl. flood) ≈ 22% of solar claims quantum vs ≈ 10% for wind; contractor error ≈ 68% of solar claims; solar external-peril share ≈ 72%.,Flood-only isolation from the NatCat bucket; $/MW; TIV; per-project denominators.,https://publications.bmsgroup.com/view/424753,2026-07-09,"NatCat bucket bundles flood with other perils; usable only as peril-share context, not a flood-only benchmark."
GCUBE_ARRESTED_DEVELOPMENT_2023,GCube — Arrested Development (construction-phase renewables claims report),renewable_insurer_claims_publication,HAS_OPEN_NUMBERS,"['CLAIM_SHARE', 'CLAIM_SEVERITY_MULTIPLIER', 'EVENT_LOSS_AGGREGATE']",['SECONDARY_BENCHMARK'],Construction-phase (CAR/DSU) flood frequency-vs-severity shape for wind+solar combined.,Flooding / heavy rainfall = 18% of weather-related construction claims by frequency but 46% by cost (≈ 2.6x severity multiplier); >$1B combined CAR + DSU claims in scope.,Solar-only split (wind+solar combined); $/MW; operational-phase applicability; TIV.,https://www.gcube-insurance.com/reports/arrested-development/,2026-07-09,"Strong flood severity-multiplier signal, but construction-phase and mixed-technology; label accordingly."
AXIS_HAEE_LEGACY_2016,AXIS / HAEE — legacy renewable energy severity bucket guidance,renewable_insurer_claims_publication,HAS_OPEN_NUMBERS,"['CLAIM_SEVERITY', 'EVENT_LOSS', 'BI_CBI']","['CASE_STUDY_ONLY', 'SECONDARY_BENCHMARK']",Qualitative severity-bucket scale and a named solar CBI flood-adjacent loss for order-of-magnitude context.,Severity buckets cited at USD 250k / 1M / 5M / 10M+; Puerto Rico solar contingent business interruption loss ≈ $20M.,Per-MW normalization; flood-only isolation; project TIV; distribution.,https://www.axiscapital.com/,2026-07-09,"Legacy qualitative buckets only; CBI figure is order-of-magnitude, not a normalized benchmark."
SWISSRE_CATCHING_THE_SUN_2024,Swiss Re — Catching the Sun (solar PV NatCat claims study),renewable_insurer_claims_publication,HAS_GATED_NUMBERS,"['CLAIM_SHARE', 'PERIL_MIX', 'SOURCE_DISCOVERY']","['SCREENING_ONLY', 'SOURCE_DISCOVERY']",Confirms peril hierarchy for solar PV but does not break out a flood share in the open material.,Hail cited as 3% of claims but ≈ 60% of losses; no open flood-specific percentage.,Any flood-only claim share or $/MW; flood is not separately quantified in open excerpts.,https://www.swissre.com/,2026-07-09,Negative for flood in the open material; treat as pathway/screening source for a fuller gated study.
MARSH_RENEWABLE_CLAIMS_2024,Marsh — renewable energy property claims context (storm/hail dominance),renewable_insurer_broker_claims_summary,HAS_OPEN_NUMBERS,"['CLAIM_SHARE', 'PERIL_MIX']",['SECONDARY_BENCHMARK'],Bundled storm-peril share that implicitly caps a residual flood share for solar PV claim values.,Storm + hail together ≈ 80% of solar PV claim values; flood falls in the residual not separately broken out.,Flood-only isolation; $/MW; TIV; denominators.,https://www.marsh.com/,2026-07-09,"Flood is inside the residual band; usable only to bound, not to quantify, flood share."
GCUBE_HAIL_OR_HIGH_WATER_2023,GCube — Hail or High Water (peril-dominance commentary),renewable_insurer_claims_publication_summary,HAS_OPEN_NUMBERS,"['PERIL_MIX', 'QUALITATIVE']",['MECHANISM_ONLY'],"Qualitative signal that for solar the dominant catastrophic peril is not flood (wildfire/hail lead), while wind portfolios are more flood-exposed.",Qualitative only: solar loss profile wildfire/hail-dominant; wind loss profile flood-dominant.,Any numeric flood share or severity for solar.,https://www.gcube-insurance.com/,2026-07-09,Negative/contextual finding; explains why isolated solar flood $/MW is genuinely scarce.
ALLIANZ_GREENING_CLAIMS_2025,Allianz Commercial — greening/renewables claims trends,renewable_insurer_claims_publication,HAS_PATHWAY_ONLY,"['EVENT_LOSS', 'NAMED_EVENT', 'SOURCE_DISCOVERY']",['SOURCE_DISCOVERY'],"Names solar flood loss events (Australia, Germany, UAE) as trend markers without dollar figures.",Named flood events affecting solar in AU / DE / UAE; no per-event or per-MW dollar figures.,"Any dollar loss, capacity, or TIV.",https://commercial.allianz.com/,2026-07-09,Pathway/trend evidence only; acquire underlying loss runs to quantify.
MOODYS_RMS_SOLAR_FARM_FLOOD_CASE,Moody's RMS — solar farm flood exposure disaggregation case,engineered_pml_aal_product,HAS_GATED_NUMBERS,"['AAL', 'AAL_DELTA', 'FLOOD_DEPTH', 'SOURCE_DISCOVERY']","['PRIMARY_BENCHMARK_CANDIDATE', 'CASE_STUDY_ONLY']",Only open modeled statement of how much flood AAL moves for a solar farm when exposure is properly disaggregated.,"Flood AAL +230% vs windstorm +2% after exposure disaggregation on a 2,700-acre reservoir-adjacent site.",Absolute AAL dollars; $/MW; TIV; site identity; capacity.,https://www.rms.com/,2026-07-09,Relative delta only; strong evidence that flood AAL is highly geolocation-sensitive for solar. Absolute values gated.
MOODYS_RMS_US_INLAND_FLOOD_HD,Moody's RMS — U.S. Inland Flood HD model (industry-wide figures),renewable_cat_model_product,HAS_GATED_NUMBERS,"['AAL', 'PML', 'RETURN_PERIOD', 'PROTECTION_GAP']",['SOURCE_DISCOVERY'],Industry-scale inland-flood loss and protection-gap context; not solar-specific but sets the hazard-model backdrop.,1-in-100 U.S. inland flood ≈ $375B with ≈ 65% protection gap; +RCP4.5 2050 ≈ $472B; 1-in-500 > $1T with > 70% gap.,Solar-specific AAL/PML; asset-class breakouts; county solar bands.,https://www.rms.com/models/flood,2026-07-09,"All-industry hazard model; provides scale, not a solar benchmark."
VDE_NATCAT_INLAND_FLOOD,VDE Americas — All-NatCat risk & insurability report (inland flood component),engineered_pml_aal_product,HAS_GATED_NUMBERS,"['AAL', 'PML', 'FLOOD_DEPTH', 'TECHNOLOGY_SPECIFIC']",['PRIMARY_BENCHMARK_CANDIDATE'],Cleanest gated path to site- and technology-specific solar flood AAL/PML alongside other perils.,"Open pages confirm inland flood is included in the site-specific, lat/long, technology-specific NatCat product.",Actual flood AAL/PML values; requires commercial report.,https://www.vde.com/en/vde-americas/hail-risk/natural-catastrophe-risk-and-insurability-report,2026-07-09,Best acquisition pathway for comparison-ready solar flood AAL/PML; not open-data.
