source_id,source_name,source_type,availability_tag,metric_tags,evidence_use_tags,solar_hail_use,has_open_numbers,does_not_have_open,url,retrieved,notes
KWH_SRA_2026_OPEN_PAGE,kWh Analytics — Solar Risk Assessment 2026 landing page,renewable_insurer_research_report,HAS_GATED_NUMBERS,"['PERCENT_TIV', 'PML', 'RETURN_PERIOD', 'MITIGATION_STATE', 'SOURCE_DISCOVERY']","['PRIMARY_BENCHMARK_CANDIDATE', 'SCREENING_ONLY_FOR_OPEN_PAGE']",Open page exposes the solar-hail article title and the modeled pass/fail definition; full report values should be requested/downloaded.,"Yes: 100 MW reference project, 1-in-100 hail loss, 10% asset-value fail threshold, 13% of U.S. headline.","Full geographic result table, by-state/county bands, all module/stow configuration results, underlying modeled AAL/PML values.",https://kwhanalytics.com/industry-reports/2026-solar-risk-assessment/,2026-06-26,Full report download is form-gated; public page still contains the most important benchmark-threshold definition for solar hail.
KWH_SRA_2025_PDF,kWh Analytics — Solar Risk Assessment 2025,renewable_insurer_research_report_pdf,HAS_OPEN_NUMBERS,"['CLAIM_SHARE', 'INCIDENT_SHARE', 'PORTFOLIO_LOSS_PATTERN', 'HAIL_FREQUENCY_CONTEXT']","['PRIMARY_BENCHMARK_CANDIDATE', 'SECONDARY_BENCHMARK']",Open portfolio-loss pattern: hail dominates financial losses despite low incident count; useful for shape and peril-share sanity.,73% of total financial losses by damage amount; 6% of loss incidents; 19% of hail-related losses in North Carolina; 23% sites with at least one partial loss in kWh database; 29% of loss sites with multiple events.,Project-level loss ledger; denominator/TIV for each record; AAL/PML by location.,https://kwhanalytics.com/wp-content/uploads/2025/06/Solar-Risk-Assessment-2025.pdf,2026-06-26,Very strong source for peril-share / frequency-vs-severity pattern; not a direct AAL table.
KWH_POWERMAG_RESILIENCY_CASE_2025,kWh Analytics / POWER Magazine — Examining the Real Cost of Renewable Resiliency,renewable_insurer_broker_case_study,HAS_OPEN_NUMBERS,"['AAL', 'DOLLARS_PER_MW', 'PERCENT_TIV', 'DEDUCTIBLE_SUBLIMIT', 'MITIGATION_STATE']","['PRIMARY_BENCHMARK_CANDIDATE', 'CASE_STUDY_ONLY']",Open modeled AAL for standard vs resilient 100-MW solar project in high hail-risk region.,"100-MW project; standard design net loss AAL $1,062,720; resilient design net loss AAL $307,790; 71% AAL reduction; standard cost $100M, resilient $115M; deductible noted as 5% of property damage value at risk with min/max terms.","Exact site, detailed stochastic distribution, gross vs net bridge, full model assumptions.",https://www.powermag.com/examining-the-real-cost-of-renewable-resiliency/,2026-06-26,"Excellent numeric AAL anchor, but it is modeled net loss and a case study, not a ground-up claims ledger."
KWH_NEXTPOWER_TELEMATICS_2026,kWh Analytics / Nextpower — hail-ready solar telematics program,renewable_insurance_data_program,HAS_PATHWAY_ONLY,"['AAL', 'PREMIUM', 'MITIGATION_STATE', 'STOW_PERFORMANCE', 'TELEMATICS']","['PRIMARY_BENCHMARK_CANDIDATE', 'SOURCE_DISCOVERY']",Pathway to real stow-performance data and insurer-modeled AAL/premium deltas for advanced stow assets.,"Open statement that resilient configurations materially reduce portfolio AAL and premiums; 2024 case reference that 75° stow reduces damage probability 87% vs 60°; kWh database size 300,000+ zero-carbon projects and $150B loss data.","Project-level stow compliance logs, loss runs, premium deltas by asset, AAL tables.",https://nextpower.com/post/press-release/kwh-analytics-data-sharing-program-hail-ready-solar,2026-06-26,Should be treated as an acquisition pathway rather than a published benchmark set.
AXIS_SOLAR_VS_HAIL_2025,AXIS Global Energy — Solar vs. Hail / severe weather claims report,renewable_insurer_claims_publication,HAS_OPEN_NUMBERS,"['CLAIM_SHARE', 'CLAIM_SEVERITY', 'DOLLARS_PER_MW', 'BI_DOWNTIME', 'MITIGATION_STATE', 'MODULE_TYPE']",['PRIMARY_BENCHMARK_CANDIDATE'],Best open claim-severity source found for solar hail; directly gives $/MW severity by stow/fixed-tilt/module-glass state.,"Hail = 55% of total gross NatCat/extreme-weather solar PV claim amount in U.S./Canada; global hail second most costly after strong wind; average claim severity $150k/MW successful stow, $340k/MW fixed tilt, $380k/MW failed tracker stow; heat-strengthened glass +$50k/MW vs fully tempered; NatCat/weather downtime 240 days average.",Full claim distribution; project TIV; location-level claim table; deductible/coverage terms.,https://investor.axiscapital.com/investors/press-releases/news-details/2025/AXIS-Global-Energy-Special-Report-Highlights-Extent-of-Severe-Weather-Impact-on-Solar-Technology-2025-hbZw1R8iIJ/default.aspx,2026-06-26,Most immediately actionable open source for $/MW event-severity bands.
AXIS_GALLAGHER_RE_RISK_INSURANCE_2026,Risk & Insurance / Gallagher Re / AXIS — rising hail risk and solar insurability,renewable_insurer_reinsurance_article,HAS_OPEN_NUMBERS,"['CLAIM_SHARE', 'CLAIM_SEVERITY', 'EVENT_LOSS_AGGREGATE', 'MODULE_COUNT', 'CAPACITY']",['SECONDARY_BENCHMARK'],"Adds global closed-claim context: module count, capacity, gross claims and geographic rank.","Closed solar PV claims 2019–2025: hail 27% of NatCat/extreme-weather losses globally by total claim amount, >1M modules damaged, $342M accumulated gross claims; Texas gross claim amount order-of-magnitude greater than Nebraska; heat-strengthened glass +$50k/MW.",Full loss run; per-project TIV; event-level capacity affected; denominators needed to avoid over-normalization.,https://riskandinsurance.com/rising-hail-risk-poses-growing-threat-to-solar-farm-insurability/,2026-06-26,Useful corroboration and global scale; less precise than the AXIS official $/MW severity bullets.
GCUBE_HAIL_NO_2023_PUBLIC_SUMMARIES,GCube / Tokio Marine HCC — Hail No! public summaries,renewable_insurer_claims_publication_summary,HAS_OPEN_NUMBERS,"['CLAIM_SHARE', 'CLAIM_SEVERITY', 'EVENT_LOSS', 'DOLLARS_PER_CLAIM']","['PRIMARY_BENCHMARK_CANDIDATE', 'SECONDARY_BENCHMARK']",Open public summaries provide claim-count vs incurred-cost asymmetry and average claim size.,Hail = about 54% of incurred costs of total solar losses while only 1.4% of claims; average hail claim about $58.4M; GCube insures >100 GW renewables in 40 countries.,Capacity denominator per claim; TIV; project geography; full Hail No report details may require subscription/contact.,https://pv-magazine-usa.com/2023/12/06/over-half-of-solar-facility-loss-claim-costs-are-due-to-hail-damage/,2026-06-26,The $58.4M per-claim figure is powerful but must be capacity-normalized with care.
VDE_HAIL_RISK_INTELLIGENCE,VDE Americas — Hail Risk Intelligence / PML-AAL / PRE / Hail Atlas,engineered_pml_aal_product,HAS_GATED_NUMBERS,"['AAL', 'PML', 'OEP_AEP', 'P50_P90_P95', 'BI_DOWNTIME', 'RETURN_PERIOD', 'HAIL_SIZE', 'TILT_ANGLE', 'MODULE_TYPE', 'PORTFOLIO_CORRELATION']",['PRIMARY_BENCHMARK_CANDIDATE'],Best gated path to comparison-ready AAL/PML and return-period hail loss numbers for solar PV.,"Product description exposes exact requested metrics: PML, AAL, downside PML, BI, return-interval curves, fixed-return-period hail size, multiple tracker tilts, sample outcome distributions, P50/P90/P95 cumulative losses, 1MW/100MW atlas scaling, portfolio PML/AAL and correlated PRE.",Actual project/county AAL and PML values unless report/subscription is acquired.,https://www.vde.com/en/vde-americas/hail-risk/hail-risk-advisory-products,2026-06-26,"This is the cleanest source pathway for future financial-range comparison, but not open-data."
VDE_CIRRUS_NATCAT_REPORTS,VDE Americas / Cirrus Advisers / GRC — all-natural catastrophe risk and insurability reports,engineered_pml_aal_product,HAS_GATED_NUMBERS,"['AAL', 'PML', 'HAIL', 'MULTI_PERIL', 'INSURABILITY', 'TECHNOLOGY_SPECIFIC']",['PRIMARY_BENCHMARK_CANDIDATE'],"Pathway for project-specific, technology-specific hail PML/AAL and broader NatCat comparison context.",Open pages confirm site- and technology-specific financial loss/risk estimates based on lat/long and PV module/tracker technologies.,Actual report values; requires transaction/client report or commercial access.,https://www.vde.com/en/vde-americas/hail-risk/natural-catastrophe-risk-and-insurability-report,2026-06-26,Especially relevant for lender/insurance diligence contexts.
VDE_2025_STOW_SUCCESS_CASES,VDE Americas — 2025 SRA hail stow case summaries,engineered_case_study,HAS_OPEN_NUMBERS,"['EVENT_HAIL_SIZE', 'WIND_GUST', 'MITIGATION_STATE', 'STOW_ANGLE', 'DAMAGE_OUTCOME']","['CASE_STUDY_ONLY', 'MECHANISM_ONLY']","Open stow-performance case evidence: hail sizes, stow angles, damage/no-damage outcomes.","Radar-estimated hail 40–50mm, 50–75mm, 75–100mm; all projects had 2.0mm/2.0mm dual glass; 52° stow; two no-damage outcomes and one minor-damage outcome tied to unstowed rows / motor issue.",Dollar loss; TIV; AAL/PML.,https://www.vde.com/en/vde-americas/newsroom/250611-kwh-analytics,2026-06-26,"Useful for sanity checking stow-conditioner behavior and damage caps, not a financial benchmark."
